x,Contralateral,Ipsilateral
-98.202,0.1857,0.1131
-98.109,0.1836,0.1101
-95.642,0.1193,0.0339
-93.432,0.0363,-0.0242
-91.047,-0.0412,-0.0684
-89.702,-0.0621,-0.0835
-87.1,-0.0804,-0.0942
-83.132,-0.0589,-0.0828
-79.494,0.0068,-0.0615
-79.033,0.0141,-0.0588
-74.65,0.0722,-0.0342
-69.634,0.1377,0.0087
-68.343,0.1525,0.0272
-65.314,0.1812,0.0891
-60.31,0.2136,0.1575
-60.098,0.2144,0.1573
-55.142,0.2184,0.1072
-52.056,0.1793,0.0691
-49.201,0.1308,0.0508
-48.288,0.1182,0.0506
-44.847,0.1122,0.0725
-39.494,0.1555,0.1482
-37.953,0.1662,0.1718
-34.837,0.1769,0.2098
-29.735,0.1822,0.2231
-27.777,0.176,0.2002
-25.908,0.1041,0.1685
-23.478,0.0192,0.1348
-22.67,0.0044,0.1274
-16.672,-0.0791,0.0892
-15.026,-0.1278,0.0723
-13.767,-0.1457,0.0517
-7.687,-0.1582,-0.0512
-5.85,-0.1578,-0.0648
0.176,-0.1586,-0.0895
6.508,-0.1618,-0.1056
8.271,-0.1542,-0.1109
15.255,-0.0849,-0.1069
17.773,-0.0619,-0.0789
25.95,-0.0127,-0.0034
30.542,0.0135,0.0052
39.348,0.084,-0.0038
41.803,0.0932,-0.0056
47.446,0.0994,-0.0016
53.985,0.0874,-0.0042
54.65,0.0783,-0.0073
59.458,-0.0235,-0.0571
64.184,-0.0805,-0.1049
65.119,-0.085,-0.11
69.769,-0.0856,-0.122
78.118,-0.1196,-0.1243
78.194,-0.1199,-0.1244
85.597,-0.1264,-0.1421
89.306,-0.1693,-0.1784
89.37,-0.171,-0.1794
94.848,-0.2655,-0.2936
96.098,-0.2676,-0.3018
104.505,-0.2227,-0.2601
108.659,-0.1627,-0.2147
109.251,-0.1522,-0.2074
114.375,-0.0642,-0.1334
119.583,0.0618,-0.0201
119.703,0.0662,-0.0164
122.913,0.2322,0.1798
123.054,0.2406,0.1931
125.552,0.3972,0.382
126.139,0.4432,0.4202
127.679,0.5733,0.5161
129.769,0.7186,0.6472
129.972,0.7328,0.6603
133.137,0.9253,0.8591
134.791,0.984,0.944
138.512,1.0348,1.0386
140.014,1.0173,1.0307
143.118,0.9074,0.9234
144.441,0.7473,0.8331
144.589,0.7034,0.8201
145.558,0.4881,0.708
146.665,0.3331,0.4961
147.693,0.1847,0.2978
148.724,-0.0131,0.1196
149.626,-0.2069,-0.0362
151.387,-0.5985,-0.4856
151.507,-0.6367,-0.537
152.747,-1.1554,-1.3703
153.317,-1.3795,-1.6397
154.44,-1.7454,-1.9719
156.195,-2.1535,-2.3809
157.086,-2.3801,-2.6114
158.696,-2.898,-3.2948
159.459,-3.372,-3.6704
159.807,-3.6808,-3.82
161.914,-4.6232,-4.5812
163.12,-4.8929,-4.9571
165.877,-5.4085,-5.7045
166.88,-5.6723,-5.9551
167.537,-5.9469,-6.1189
169.295,-6.5166,-6.5752
170.385,-6.7726,-6.9005
172.329,-7.1628,-7.4662
172.9,-7.2686,-7.5395
176.012,-7.8161,-7.7637
178.27,-8.1914,-7.8779
179.059,-8.3077,-7.9166
180.35,-8.4556,-7.9819
183.559,-8.588,-8.0972
184.733,-8.5844,-8.1099
188.799,-8.4915,-8.0781
192.437,-8.3214,-7.9622
193.216,-8.2629,-7.9118
194.831,-7.9784,-7.7104
195.863,-7.7684,-7.534
197.376,-7.5135,-7.3289
200.721,-7.0509,-6.9134
200.792,-7.0418,-6.9041
203.744,-6.6533,-6.4782
205.61,-6.3987,-6.2054
207.386,-6.1538,-5.961
210.346,-5.7445,-5.4899
210.513,-5.7211,-5.4536
212.87,-5.3421,-4.7468
213.241,-5.2619,-4.6666
214.978,-4.884,-4.3868
217.934,-4.4886,-3.9985
218.412,-4.4267,-3.9323
220.004,-4.1417,-3.6676
221.219,-3.7599,-3.444
221.606,-3.7014,-3.3816
225.526,-3.2188,-2.8012
225.639,-3.2036,-2.7784
227.752,-2.8543,-2.1925
227.823,-2.8441,-2.1799
230.316,-2.532,-1.8796
232.025,-2.1998,-1.6856
232.17,-2.185,-1.6671
236.625,-1.8797,-1.0213
237.059,-1.8454,-0.9686
240.45,-1.4431,-0.6748
241.694,-1.3225,-0.5845
244.683,-1.1173,-0.3636
250.385,-0.9099,0.053
250.395,-0.9098,0.0537
257.932,-0.8908,0.5419
258.644,-0.897,0.5829
265.109,-1.0229,0.8634
265.149,-1.024,0.8646
269.83,-1.1764,0.9968
274.532,-1.3854,1.1268
276.466,-1.4781,1.1868
279.45,-1.5944,1.2967
284.794,-1.6659,1.5618
285.284,-1.6646,1.5904
290.389,-1.5591,1.9373
290.972,-1.5265,1.9871
294.125,-1.1867,2.2457
294.885,-1.1242,2.2954
298.346,-0.8956,2.4829
301.037,-0.639,2.5942
304.312,-0.4512,2.6878
306.575,-0.3065,2.7217
310.617,0.0957,2.7357
315.277,0.4007,2.7226
315.804,0.4396,2.7212
319.288,0.7126,2.7157
324.599,1.0174,2.7034
326.856,1.274,2.6895
328.906,1.3668,2.6669
334.091,1.4953,2.5314
337.551,1.5177,2.3682
341.465,1.4873,2.1557
345.067,1.4338,1.9647
