x,Contralateral,Ipsilateral
-97.806,0.1956,0.191
-96.712,0.1801,0.1825
-93.683,0.1315,0.1478
-92.651,0.1104,0.1302
-89.793,0.0485,0.0682
-86.332,-0.0139,-0.0174
-86.306,-0.0143,-0.018
-82.87,-0.0626,-0.095
-80.987,-0.09,-0.1225
-79.621,-0.0975,-0.1334
-75.648,-0.0594,-0.1234
-75.491,-0.057,-0.1215
-71.574,0.004,-0.0331
-71.151,0.0087,-0.0208
-68.313,0.0378,0.0592
-66.478,0.0868,0.1037
-65.915,0.0991,0.1154
-61.783,0.1464,0.1677
-60.782,0.1548,0.1735
-57.655,0.1731,0.1834
-52.169,0.1799,0.1828
-51.579,0.1789,0.1813
-46.321,0.1518,0.1382
-46.159,0.1505,0.1356
-42.481,0.0949,0.0594
-41.861,0.0802,0.0448
-38.261,-0.009,-0.043
-37.081,-0.0365,-0.0744
-33.969,-0.0888,-0.12
-32.752,-0.099,-0.1269
-27.331,-0.1137,-0.1344
-25.877,-0.115,-0.1324
-20.604,-0.1149,-0.0982
-20.359,-0.1145,-0.0952
-17.13,-0.1018,-0.0549
-13.629,-0.0978,-0.0202
-10.836,-0.0961,-0.0065
-7.253,-0.0914,0.0004
-6.495,-0.09,0.0024
-3.291,-0.0871,0.0052
0.231,-0.0912,-0.0065
4.626,-0.1013,-0.0235
10.65,-0.1164,-0.0464
12.811,-0.1209,-0.0604
16.498,-0.1241,-0.0855
19.32,-0.1221,-0.1004
24.418,-0.1271,-0.0978
26.045,-0.1302,-0.0596
28.915,-0.1367,0.0048
33.636,-0.1521,0.0212
39.923,-0.1807,0.0193
40.629,-0.1824,0.0191
45.78,-0.1886,0.0215
49.068,-0.2011,0.023
51.201,-0.2102,0.0093
51.993,-0.2131,0.0061
58.794,-0.2184,0.0054
59.398,-0.216,0.0048
64.229,-0.1645,-0.0073
68.147,-0.0966,-0.0225
68.521,-0.092,-0.0241
75.534,-0.043,-0.0698
77.12,-0.0481,-0.091
80.081,-0.0987,-0.1469
83.319,-0.1885,-0.2245
85.18,-0.2334,-0.2722
87.208,-0.2784,-0.3226
90.667,-0.3477,-0.396
92.901,-0.3855,-0.4315
95.209,-0.424,-0.4587
99.106,-0.4727,-0.483
101.503,-0.45,-0.4766
103.023,-0.4117,-0.4523
105.661,-0.3137,-0.3467
107.176,-0.2477,-0.2898
109.133,-0.1539,-0.2002
110.245,-0.0835,-0.1236
112.667,0.1082,0.0617
112.974,0.1239,0.0823
115.951,0.2654,0.2373
116.974,0.3374,0.2886
120.638,0.6358,0.5439
120.796,0.6489,0.5581
123.65,0.8268,0.8159
123.79,0.8327,0.8266
127.153,0.9909,1.0454
128.485,1.1553,1.1186
129.364,1.2147,1.1633
132.203,1.3125,1.2838
135.428,1.3471,1.3583
137.633,1.339,1.3587
140.92,1.2024,1.2538
141.076,1.1874,1.2439
144.043,0.8025,0.9211
144.463,0.7484,0.861
147.859,0.3215,0.3528
147.982,0.3047,0.332
151.232,-0.2076,-0.2337
152.825,-0.4866,-0.4804
154.183,-0.6748,-0.6614
158.042,-1.1269,-1.135
159.275,-1.3002,-1.3239
161.883,-1.8528,-1.7839
162.407,-1.9596,-1.8698
166.581,-2.462,-2.4493
166.652,-2.4682,-2.4572
171.181,-2.7982,-2.717
172.651,-2.881,-2.7602
180.097,-3.1567,-2.931
181.275,-3.1777,-2.9431
185.782,-3.2086,-2.9211
191.043,-3.1588,-2.8808
193.206,-3.0964,-2.8244
196.516,-2.899,-2.6824
201.365,-2.495,-2.3686
201.736,-2.4633,-2.3357
203.869,-2.2756,-1.9766
206.226,-2.0224,-1.7562
206.323,-2.0091,-1.7483
209.583,-1.4739,-1.4354
210.006,-1.419,-1.3895
