x,Contralateral,Ipsilateral
-98.46,0.2229,0.2013
-97.88,0.2082,0.1904
-94.628,0.1188,0.1264
-92.311,0.0463,0.0712
-90.292,-0.0049,0.0057
-88.351,-0.0339,-0.0457
-84.863,-0.0536,-0.0863
-82.195,-0.0583,-0.1026
-77.474,-0.0547,-0.1123
-76.308,-0.0505,-0.1078
-71.383,-0.0077,-0.0494
-71.099,-0.0039,-0.044
-66.846,0.0596,0.0458
-64.854,0.087,0.0749
-59.445,0.1444,0.1308
-56.805,0.1678,0.1452
-53.146,0.1963,0.1299
-49.629,0.2077,0.0551
-48.09,0.2036,0.0215
-43.982,0.159,-0.0273
-42.072,0.1035,-0.0397
-41.381,0.0834,-0.0437
-37.259,0.0076,-0.0632
-34.818,-0.052,-0.071
-30.318,-0.1438,-0.0785
-27.288,-0.1628,-0.0807
-22.712,-0.1587,-0.0811
-20.579,-0.1601,-0.0774
-13.73,-0.1786,-0.0526
-13.151,-0.1806,-0.0509
-9.075,-0.1871,-0.0534
-7.499,-0.1746,-0.0626
-3.737,-0.1086,-0.0714
-1.403,-0.0662,-0.0666
5.304,0.0252,-0.0254
8.171,0.0554,0.0203
10.376,0.0762,0.0428
18.863,0.1227,0.0199
19.479,0.1221,0.0178
25.57,0.0571,-0.0069
27.947,0.0251,-0.0299
32.547,-0.0219,-0.0726
38.983,-0.0764,-0.0563
40.977,-0.0931,-0.0319
45.562,-0.1352,0.0159
49.012,-0.1627,0.0277
54.737,-0.1857,0.0317
58.79,-0.1847,0.0363
63.501,-0.1562,0.039
67.927,-0.0972,0.0314
71.03,-0.0406,0.0293
76.198,0.0314,0.0373
77.793,0.0337,0.0289
84.017,-0.0313,-0.0677
85.889,-0.0552,-0.1026
92.7,-0.1488,-0.2236
94.672,-0.1871,-0.2613
98.778,-0.2317,-0.3367
100.012,-0.2242,-0.338
105.2,-0.1402,-0.2086
106.832,-0.1031,-0.1214
108.322,-0.0658,-0.0192
112.481,0.0409,0.181
114.021,0.0736,0.2271
119.226,0.1496,0.359
121.638,0.1818,0.425
125.972,0.2531,0.5533
128.168,0.2833,0.6159
131.675,0.2985,0.6718
134.036,0.2824,0.6445
136.323,0.2417,0.568
139.023,0.1518,0.4071
139.41,0.1347,0.3668
141.279,0.0307,0.0572
143.557,-0.1702,-0.2767
143.83,-0.202,-0.3284
145.171,-0.3812,-0.7464
147.378,-0.7161,-1.1319
147.846,-0.7861,-1.1873
150.788,-1.2111,-1.5665
152.132,-1.4429,-1.9415
152.634,-1.551,-2.1148
154.674,-2.1543,-2.5905
155.339,-2.3555,-2.7066
156.892,-2.7743,-2.9502
158.735,-3.2089,-3.2876
159.574,-3.3776,-3.6818
159.894,-3.4388,-3.8087
162.609,-3.9635,-4.2974
163.873,-4.2567,-4.5482
165.315,-4.7085,-4.8729
166.672,-5.181,-5.1703
168.526,-5.5754,-5.595
169.556,-5.7215,-5.8635
170.388,-5.8269,-5.9805
172.56,-6.1423,-6.203
174.47,-6.6348,-6.3845
175.345,-6.7927,-6.4696
176.293,-6.9017,-6.5693
177.736,-7.0274,-6.7304
178.126,-7.0558,-6.7638
180.505,-7.1826,-6.9129
180.65,-7.1878,-6.9207
183.974,-7.2686,-7.0755
185.289,-7.2926,-7.1222
188.426,-7.3068,-7.1859
190.287,-7.2702,-7.1772
193.115,-7.1332,-7.0615
194.273,-7.0311,-6.9771
196.628,-6.7612,-6.7379
197.409,-6.6777,-6.6466
200.471,-6.3311,-6.2779
201.947,-6.0641,-6.083
203.124,-5.8496,-5.9089
205.45,-5.5491,-5.5138
206.645,-5.3853,-5.3033
208.607,-4.9618,-4.9609
208.752,-4.9276,-4.9356
210.847,-4.61,-4.5665
211.764,-4.5037,-4.3971
214.033,-4.2414,-3.9497
214.577,-4.1605,-3.8387
214.811,-4.0535,-3.7907
216.156,-3.6128,-3.5416
216.332,-3.5739,-3.5134
218.367,-3.2132,-3.1786
218.962,-3.0945,-3.0526
220.475,-2.7487,-2.6388
221.257,-2.5738,-2.4941
222.134,-2.4311,-2.3679
224.99,-2.1102,-2.0189
226.145,-1.9995,-1.8709
227.517,-1.8132,-1.5735
227.732,-1.773,-1.5022
229.317,-1.4188,-1.1606
229.958,-1.2702,-0.9899
231.079,-1.0671,-0.7648
231.833,-0.9765,-0.6683
234.563,-0.7385,-0.4018
234.681,-0.7308,-0.3908
237.347,-0.6007,-0.1418
238.392,-0.5605,-0.0551
241.512,-0.4433,0.1289
242.645,-0.4005,0.1726
247.55,-0.2474,0.2968
248.43,-0.2313,0.3123
254.399,-0.2211,0.3723
255.853,-0.2477,0.3709
261.102,-0.4108,0.2975
262.399,-0.4592,0.2668
264.924,-0.5405,0.1983
267.903,-0.6139,0.0923
270.662,-0.6727,-0.0399
272.199,-0.7001,-0.0874
276.066,-0.7231,-0.1474
279.782,-0.6948,-0.1645
283.125,-0.6402,-0.1173
284.795,-0.5952,-0.0567
287.658,-0.4858,0.065
289.99,-0.4017,0.1649
291.367,-0.3486,0.2205
295.135,-0.1587,0.3524
295.356,-0.1453,0.3595
297.307,0.0011,0.4205
299.566,0.1811,0.4889
302.177,0.3129,0.5655
303.66,0.4055,0.6078
304.519,0.4633,0.6319
306.997,0.6137,0.7016
311.272,0.8709,0.8399
311.679,0.8929,0.8552
316.904,1.1289,1.0742
319.758,1.2423,1.2022
321.303,1.3177,1.2715
327.221,1.6527,1.5491
327.728,1.6781,1.5753
333.409,1.9403,1.8821
334.143,1.9795,1.9162
339.055,2.2797,2.1144
342.974,2.5102,2.2675
343.873,2.5632,2.3051
348.831,2.8725,2.5465
349.559,2.9191,2.5921
351.994,3.0692,2.8087
352.825,3.1173,2.8668
356.506,3.329,3.0902
358.332,3.4481,3.2063
360.819,3.6846,3.3657
361.538,3.7357,3.4095
363.711,3.8693,3.5335
366.741,4.0968,3.7017
366.745,4.0971,3.702
371.248,4.2932,3.9398
371.282,4.2945,3.941
375.679,4.4618,4.0721
376.612,4.4949,4.1072
380.484,4.6075,4.296
383.022,4.6394,4.3992
384.322,4.6499,4.4397
388.71,4.7225,4.5489
391.841,4.7777,4.6257
395.979,4.8549,4.7784
397.552,4.8889,4.831
401.743,4.9961,4.9398
407.58,5.139,5.0737
409.702,5.1801,5.1235
416.05,5.2557,5.2569
417.103,5.2651,5.2744
423.133,5.3202,5.3629
427.278,5.341,5.4179
431.899,5.3576,5.4845
434.19,5.3656,5.5362
440.941,5.4122,5.7607
441.285,5.4167,5.7739
447.17,5.5367,5.9846
447.663,5.549,5.9971
452.603,5.6731,6.0906
455.464,5.7571,6.1299
457.272,5.8189,6.1513
461.662,5.9129,6.1986
464.616,5.9018,6.2316
470.554,5.8298,6.2883
472.729,5.7878,6.2846
477.934,5.6736,6.2217
482.204,5.6129,6.1529
485.592,5.5734,6.1113
488.581,5.5325,6.0869
493.521,5.443,6.0103
494.609,5.4194,5.9829
502.262,5.2135,5.7345
504.239,5.1464,5.6504
509.356,4.9368,5.3357
509.727,4.9183,5.3132
512.899,4.7468,5.1593
515.395,4.6505,5.0465
517.537,4.5695,4.9287
519.854,4.4706,4.7583
522.996,4.3706,4.5402
524.143,4.343,4.508
533.933,4.1967,4.4312
534.141,4.1953,4.4306
541.727,4.1849,4.3752
543.652,4.1737,4.3371
548.094,4.1083,4.206
553.22,4,4.0141
554.111,3.9811,3.9826
559.617,3.8619,3.8299
559.643,3.8612,3.8293
565.816,3.6712,3.715
566.878,3.6318,3.7068
572.196,3.3942,3.6981
572.542,3.3789,3.6977
579.018,3.1434,3.6535
580.299,3.1087,3.6314
586.397,2.9786,3.4395
587.351,2.9598,3.4025
592.957,2.8484,3.1841
593.882,2.831,3.1465
596.116,2.7913,3.0539
597.878,2.7616,3.0035
601.278,2.703,2.9121
